Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Vacunado;Total
Total;;Ambos sexos;TOTAL;39.974,1
Total;;Ambos sexos;Sí ha sido vacunado;7.685,2
Total;;Ambos sexos;No ha sido vacunado;32.288,9
Total;;Hombres;TOTAL;19.449,1
Total;;Hombres;Sí ha sido vacunado;3.411,1
Total;;Hombres;No ha sido vacunado;16.038,0
Total;;Mujeres;TOTAL;20.525,0
Total;;Mujeres;Sí ha sido vacunado;4.274,1
Total;;Mujeres;No ha sido vacunado;16.250,9
Total;Andalucía;Ambos sexos;TOTAL;7.096,4
Total;Andalucía;Ambos sexos;Sí ha sido vacunado;1.225,8
Total;Andalucía;Ambos sexos;No ha sido vacunado;5.870,6
Total;Andalucía;Hombres;TOTAL;3.473,0
Total;Andalucía;Hombres;Sí ha sido vacunado;549,4
Total;Andalucía;Hombres;No ha sido vacunado;2.923,6
Total;Andalucía;Mujeres;TOTAL;3.623,4
Total;Andalucía;Mujeres;Sí ha sido vacunado;676,3
Total;Andalucía;Mujeres;No ha sido vacunado;2.947,0
Total;Aragón;Ambos sexos;TOTAL;1.121,4
Total;Aragón;Ambos sexos;Sí ha sido vacunado;245,1
Total;Aragón;Ambos sexos;No ha sido vacunado;876,3
Total;Aragón;Hombres;TOTAL;550,5
Total;Aragón;Hombres;Sí ha sido vacunado;100,6
Total;Aragón;Hombres;No ha sido vacunado;449,9
Total;Aragón;Mujeres;TOTAL;570,9
Total;Aragón;Mujeres;Sí ha sido vacunado;144,5
Total;Aragón;Mujeres;No ha sido vacunado;426,4
Total;Asturias (Principado de);Ambos sexos;TOTAL;896,9
Total;Asturias (Principado de);Ambos sexos;Sí ha sido vacunado;211,1
Total;Asturias (Principado de);Ambos sexos;No ha sido vacunado;685,8
Total;Asturias (Principado de);Hombres;TOTAL;425,8
Total;Asturias (Principado de);Hombres;Sí ha sido vacunado;92,6
Total;Asturias (Principado de);Hombres;No ha sido vacunado;333,2
Total;Asturias (Principado de);Mujeres;TOTAL;471,1
Total;Asturias (Principado de);Mujeres;Sí ha sido vacunado;118,5
Total;Asturias (Principado de);Mujeres;No ha sido vacunado;352,6
Total;Balears (Illes);Ambos sexos;TOTAL;1.030,2
