Product;Period;Total
Typical tourism products;01/01/2023;76327.80
Typical tourism products;01/01/2022;60681.70
Typical tourism products;01/01/2021;25028.80
Hotels and similar establishments;01/01/2023;20501.70
Hotels and similar establishments;01/01/2022;18050.70
Hotels and similar establishments;01/01/2021;7499.20
Real estate rental services;01/01/2023;7728
Real estate rental services;01/01/2022;5747.40
Real estate rental services;01/01/2021;2276.40
Food and beverage provision services;01/01/2023;12977.80
Food and beverage provision services;01/01/2022;10467.10
Food and beverage provision services;01/01/2021;4379.70
Passenger rail transport services;01/01/2023;928.40
Passenger rail transport services;01/01/2022;927.00
Passenger rail transport services;01/01/2021;256.20
Passenger transport by road services;01/01/2023;2139.90
Passenger transport by road services;01/01/2022;1504.80
Passenger transport by road services;01/01/2021;624.30
Passenger transport by water services;01/01/2023;303.60
Passenger transport by water services;01/01/2022;315.80
Passenger transport by water services;01/01/2021;84.70
Passenger air transport services;01/01/2023;10393.40
Passenger air transport services;01/01/2022;6944.60
Passenger air transport services;01/01/2021;2900.90
Transport equipment rental services;01/01/2023;2448.30
Transport equipment rental services;01/01/2022;1948.10
Transport equipment rental services;01/01/2021;920.80
Travel agencies and other reservation services;01/01/2023;2666.60
Travel agencies and other reservation services;01/01/2022;1736.70
Travel agencies and other reservation services;01/01/2021;688.90
Cultural services;01/01/2023;8344.10
Cultural services;01/01/2022;7069.50
Cultural services;01/01/2021;2427.10
Sports and recreational services;01/01/2023;7896.00
Sports and recreational services;01/01/2022;5970.00
Sports and recreational services;01/01/2021;2970.70
Other non-characteristic products;01/01/2023;25055.10
Other non-characteristic products;01/01/2022;22522.20
Other non-characteristic products;01/01/2021;13591.30
TOTAL;01/01/2023;101382.90
TOTAL;01/01/2022;83203.90
TOTAL;01/01/2021;38620.10
